,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
NSW,1927020,2108220,2325890,2523680,2736800,2993990,3048050,3093530,3236290,3666580,3528620,3451670,3383440,3871670,4166910,4207150,4415700,4547440,4594710,4957010,5187790,5338740,5664710,5955910,6277280,6836150,7338750,7573530,7605660,1752140,360440,3501010,6478160,7307410,5082600
VIC,894300,929760,950670,1018140,1109830,1228620,1351870,1437190,1490600,1642070,1711110,1747280,1711730,2047970,2221670,2305680,2467060,2607850,2763110,3089630,3372710,3586270,3791750,4056220,4430370,4850900,5175590,5609080,5872270,1326320,180620,2727900,4956700,5649950,3992930
QLD,922190,1041740,1199890,1326540,1509080,1727520,1806440,1735770,1846550,1891480,1943240,1944870,1946950,2326820,2468340,2515520,2615990,2679920,2682410,2828450,2876470,3053970,3163390,3226300,3390310,3648510,3836060,4113360,4199590,936220,123260,1763220,3414620,4065520,2885200
SA,173940,179230,188750,190530,206420,217790,239730,241020,276670,294350,289310,278190,269590,335530,370720,396540,427370,449130,470990,506000,531190,576330,623060,682640,672300,708780,750760,793490,832940,188100,21670,367390,723970,805760,577490
WA,451030,485500,546870,641410,668560,735190,793120,829640,858190,893530,898000,900730,889560,1016820,1119350,1143100,1314340,1410620,1542430,1734940,1871870,2018450,2140140,2257160,2217850,2325640,2316060,2323300,2362340,574130,48280,1003290,2064060,2462980,1831740
TAS,35080,43280,45930,44380,51230,47450,57030,53910,54800,63570,64310,63530,67050,81090,83870,88880,91300,104190,111900,112050,118100,125600,136010,140310,142590,158970,183110,208380,221830,51040,8510,98220,184260,202500,146130
NT,41930,43710,47110,67870,74060,76320,82400,81970,96000,100520,102300,91430,76790,87180,91600,98960,115320,134790,140620,138240,159240,180390,190180,210580,195050,194940,225500,174870,180610,38580,7600,69450,120420,137640,107430
ACT,73520,73650,71700,73640,84550,88220,89960,90360,101760,113730,115560,119080,118730,139370,143380,154550,166520,180410,188340,206340,207680,240710,236920,243100,254140,265590,300660,340900,341340,82040,14540,178300,309530,341130,236490
